Metric		Current
TOTAL_NUMBER_OF_FILES		28,270
NUMBER_OF_FILES_MAIN		35
LINES_OF_CODE_MAIN		2,366
NUMBER_OF_FILES_MAIN_EXT_JSX		17
LINES_OF_CODE_MAIN_EXT_JSX		1,373
NUMBER_OF_FILES_MAIN_EXT_JS		13
LINES_OF_CODE_MAIN_EXT_JS		585
NUMBER_OF_FILES_MAIN_EXT_CSS		2
LINES_OF_CODE_MAIN_EXT_CSS		307
NUMBER_OF_FILES_MAIN_EXT_PY		1
LINES_OF_CODE_MAIN_EXT_PY		48
NUMBER_OF_FILES_MAIN_EXT_SQL		1
LINES_OF_CODE_MAIN_EXT_SQL		35
NUMBER_OF_FILES_MAIN_EXT_HTML		1
LINES_OF_CODE_MAIN_EXT_HTML		18
NUMBER_OF_FILES_TEST		1
LINES_OF_CODE_TEST		15
NUMBER_OF_FILES_TEST_EXT_JS		1
LINES_OF_CODE_TEST_EXT_JS		15
TEST_VS_MAIN_LINES_OF_CODE_PERCENTAGE		0.63
NUMBER_OF_FILES_GENERATED		0
LINES_OF_CODE_GENERATED		0
NUMBER_OF_FILES_BUILD_AND_DEPLOYMENT		0
LINES_OF_CODE_BUILD_AND_DEPLOYMENT		0
NUMBER_OF_FILES_OTHER		8
LINES_OF_CODE_OTHER		3,620
NUMBER_OF_FILES_OTHER_EXT_TXT		1
LINES_OF_CODE_OTHER_EXT_TXT		2,059
NUMBER_OF_FILES_OTHER_EXT_JSON		5
LINES_OF_CODE_OTHER_EXT_JSON		1,541
NUMBER_OF_FILES_OTHER_EXT_MD		2
LINES_OF_CODE_OTHER_EXT_MD		20
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_FRONTEND		35
LINES_OF_CODE_DECOMPOSITION_PRIMARY_FRONTEND		2,366
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_FRONTEND_EXT_JSX		17
LINES_OF_CODE_DECOMPOSITION_PRIMARY_FRONTEND_EXT_JSX		1,373
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_FRONTEND_EXT_JS		13
LINES_OF_CODE_DECOMPOSITION_PRIMARY_FRONTEND_EXT_JS		585
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_FRONTEND_EXT_CSS		2
LINES_OF_CODE_DECOMPOSITION_PRIMARY_FRONTEND_EXT_CSS		307
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_FRONTEND_EXT_PY		1
LINES_OF_CODE_DECOMPOSITION_PRIMARY_FRONTEND_EXT_PY		48
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_FRONTEND_EXT_SQL		1
LINES_OF_CODE_DECOMPOSITION_PRIMARY_FRONTEND_EXT_SQL		35
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_FRONTEND_EXT_HTML		1
LINES_OF_CODE_DECOMPOSITION_PRIMARY_FRONTEND_EXT_HTML		18
NUMBER_OF_DEPENDENCY_LINKS_DECOMPOSITION_PRIMARY		0
NUMBER_OF_DEPENDENCIES_DECOMPOSITION_PRIMARY		0
NUMBER_OF_PLACES_WITH_CYCLIC_DEPENDENCIES_DECOMPOSITION_PRIMARY		0
NUMBER_OF_FILES_CONCERN_GENERAL_TODOS		0
LINES_OF_CODE_CONCERN_GENERAL_TODOS		0
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED		35
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED		2,366
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED_EXT_JSX		17
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED_EXT_JSX		1,373
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED_EXT_JS		13
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED_EXT_JS		585
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED_EXT_CSS		2
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED_EXT_CSS		307
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED_EXT_PY		1
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED_EXT_PY		48
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED_EXT_SQL		1
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED_EXT_SQL		35
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED_EXT_HTML		1
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED_EXT_HTML		18
NEGLIGIBLE_RISK_FILE_SIZE_COUNT		25
LOW_RISK_FILE_SIZE_COUNT		9
MEDIUM_RISK_FILE_SIZE_COUNT		1
HIGH_RISK_FILE_SIZE_COUNT		0
VERY_HIGH_RISK_FILE_SIZE_COUNT		0
NEGLIGIBLE_RISK_FILE_SIZE_LOC		840
LOW_RISK_FILE_SIZE_LOC		1,256
MEDIUM_RISK_FILE_SIZE_LOC		270
HIGH_RISK_FILE_SIZE_LOC		0
VERY_HIGH_RISK_FILE_SIZE_LOC		0
NUMBER_OF_UNITS		25
LINES_OF_CODE_IN_UNITS		390
LINES_OF_CODE_OUTSIDE_UNITS		1,976
UNIT_SIZE_NEGLIGIBLE_RISK_LOC		83
UNIT_SIZE_NEGLIGIBLE_RISK_PERCENTAGE		21.28
UNIT_SIZE_NEGLIGIBLE_RISK_COUNT		14
UNIT_SIZE_LOW_RISK_LOC		78
UNIT_SIZE_LOW_RISK_PERCENTAGE		20
UNIT_SIZE_LOW_RISK_COUNT		5
UNIT_SIZE_MEDIUM_RISK_LOC		173
UNIT_SIZE_MEDIUM_RISK_PERCENTAGE		44.36
UNIT_SIZE_MEDIUM_RISK_COUNT		5
UNIT_SIZE_HIGH_RISK_LOC		56
UNIT_SIZE_HIGH_RISK_PERCENTAGE		14.36
UNIT_SIZE_HIGH_RISK_COUNT		1
UNIT_SIZE_VERY_HIGH_RISK_LOC		0
UNIT_SIZE_VERY_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_VERY_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_FRONTEND_NEGLIGIBLE_RISK_LOC		83
UNIT_SIZE_COMPONENT_FRONTEND_NEGLIGIBLE_RISK_PERCENTAGE		21.28
UNIT_SIZE_COMPONENT_FRONTEND_NEGLIGIBLE_RISK_COUNT		14
UNIT_SIZE_COMPONENT_FRONTEND_LOW_RISK_LOC		78
